,0
0,Walmart
1,Amazon
2,Apple
3,UnitedHealth_Group
4,Toyota_Motor
5,Volkswagen
6,Berkshire_Hathaway
7,McKesson
8,Saudi_Aramco
9,Samsung_Electronics
10,AmerisourceBergen
11,BP
12,Royal_Dutch_Shell
13,Alphabet
14,Exxon_Mobil
15,Daimler
16,Costco_Wholesale
17,Cigna
18,Microsoft
19,Glencore
20,Allianz
21,Kroger
22,Home_Depot
23,JPMorgan_Chase
24,Verizon_Communications
25,AXA
26,Ford_Motor
27,Honda_Motor
28,General_Motors
29,Anthem
30,Mitsubishi
31,Deutsche_Telekom
32,Centene
33,SAIC_Motor
34,Fannie_Mae
35,Comcast
36,China_Minmetals
37,Itochu
38,Assicurazioni_Generali
39,Chevron
40,Target
41,Nestlé
42,Lowe's
43,Citigroup
44,Hyundai_Motor
45,Gazprom
46,Dongfeng_Motor
47,Facebook
48,Sony
49,United_Parcel_Service
50,Crédit_Agricole
51,Hitachi
52,Carrefour
53,BNP_Paribas
54,Tesco
55,AEON
56,HSBC_Holdings
57,Wells_Fargo
58,General_Electric
59,Electricité_de_France
60,Intel
61,Sinopharm
62,Humana
63,COFCO
64,Mitsui
65,Nissan_Motor
66,Enel
67,Banco_Santander
68,International_Business_Machines
69,Lukoil
70,SK
71,E.ON
72,PepsiCo
73,Tencent_Holdings
74,Albertsons
75,BASF
76,FedEx
77,MetLife
78,Freddie_Mac
79,Lockheed_Martin
80,Walt_Disney
81,Archer_Daniels_Midland
82,Siemens
83,Sinochem
84,Panasonic
85,Reliance_Industries
86,Brookfield_Asset_Management
87,Aviva
88,China_Vanke
89,ChemChina
90,Valero_Energy
91,Marubeni
92,Toyota_Tsusho
93,Manulife_Financial
94,Aegon
95,Boeing
96,Unilever
97,Prudential_Financial
98,Airbus
99,Petrobras
100,HP
101,Prudential
102,Fortum
103,LG_Electronics
104,ArcelorMittal
105,Sysco
106,JBS
107,Société_Générale
108,Morgan_Stanley
109,PTT
110,Tokio_Marine_Holdings
111,Christian_Dior
112,Wilmar_International
113,Vinci
114,Kia
115,ENI
116,KDDI
117,Novartis
118,Renault
119,Cisco_Systems
120,Telefónica
121,China_Minsheng_Banking
122,Jiangxi_Copper
123,POSCO
124,Bayer
125,Orange
126,Charter_Communications
127,Merck
128,Pegatron
129,América_Móvil
130,Best_Buy
131,Talanx
132,Denso
133,Taiwan_Semiconductor_Manufacturing
134,Deutsche_Bahn
135,Allstate
136,Pemex
137,Accenture
138,Sumitomo
139,GlaxoSmithKline
140,Groupe_BPCE
141,Lloyds_Banking_Group
142,Swiss_Re
143,Sberbank
144,Tyson_Foods
145,Hanwha
146,Continental
147,Progressive
148,Sanofi
149,Petronas
150,Nationwide
151,Pfizer
152,Caterpillar
153,TIAA
154,Pertamina
155,Bunge
156,Fresenius
157,Intesa_Sanpaolo
158,Vale
159,ACS
160,ThyssenKrupp
161,Bouygues
162,Mitsubishi_Electric
163,Oracle
164,Jiangsu_Shagang_Group
165,Dow
166,General_Dynamics
167,Deutsche_Bank
168,Idemitsu_Kosan
169,Iberdrola
170,Nike
171,Itaú_Unibanco_Holding
172,ZF_Friedrichshafen
173,Quanta_Computer
174,Northrop_Grumman
175,Volvo
176,Metro
177,USAA
178,Chubb
179,Heraeus_Holding
180,Jinchuan_Group
181,Banco_Bilbao_Vizcaya_Argentaria
182,Compal_Electronics
183,Deere
184,La_Poste
185,DZ_Bank
186,Barclays
187,Mitsubishi_Heavy_Industries
188,Rajesh_Exports
189,Abbott_Laboratories
190,China_Huadian
191,Poste_Italiane
192,Tata_Motors
193,Fujitsu
194,Northwestern_Mutual
195,Louis_Dreyfus
196,Aisin
197,Exelon
198,Jardine_Matheson
199,Magna_International
200,Honeywell_International
201,Thermo_Fisher_Scientific
202,Repsol
203,3M
204,TJX
205,Travelers
206,Fubon_Financial_Holding
207,Tesla
208,CMA_CGM
209,Bharat_Petroleum
210,SAP
211,Hyundai_Mobis
212,JFE_Holdings
213,Mizuho_Financial_Group
214,Takeda_Pharmaceutical
215,ABB
216,Shougang_Group
217,Suzuki_Motor
218,Veolia_Environnement
219,Canon
220,Kansai_Electric_Power
221,Enbridge
222,Medtronic
223,Toshiba
224,Wistron
225,Philip_Morris_International
226,Arrow_Electronics
227,Schneider_Electric
228,Weichai_Power
229,Banco_Bradesco
230,CHS
231,NEC
232,Bridgestone
233,LyondellBasell_Industries
234,Chubu_Electric_Power
235,CRH
236,X5_Retail_Group
237,Jabil
238,Linde
239,Mazda_Motor
240,Danone
241,Achmea
242,Centrica
243,Subaru
244,LG_Chem
245,AstraZeneca
246,Boehringer_Ingelheim
247,Koç_Holding
248,Olam_International
249,Dollar_Tree
250,Amgen
251,Ericsson
252,Netflix
253,Nokia
254,Zijin_Mining_Group
255,BAE_Systems
256,Gree_Electric_Appliances
257,Gilead_Sciences
258,Synnex
259,Holcim
260,Alfresa_Holdings
261,Eli_Lilly
262,Flex
263,Rite_Aid
